bedingung,schicht,kopf,delta,p,signifikant_bh
B2,10,2,0.002969,0.427572,0
B2,10,3,-0.002519,0.548452,0
B2,10,4,0.009140,0.285714,0
B2,10,5,-0.003045,0.660340,0
B2,10,6,-0.002403,0.559441,0
B2,10,7,0.005326,0.362637,0
B2,10,8,-0.005066,0.650350,0
B2,10,9,-0.002043,0.612388,0
B2,10,10,0.003504,0.402597,0
B2,10,11,-0.011717,0.747253,0
B2,11,0,0.000418,0.464535,0
B2,11,1,0.001977,0.464535,0
B2,11,2,0.004831,0.392607,0
B2,11,3,-0.006041,0.622378,0
B2,11,4,-0.000695,0.523477,0
B2,11,5,-0.004565,0.647353,0
B2,11,6,-0.000947,0.531469,0
B2,11,7,0.003737,0.394605,0
B2,11,8,0.000013,0.320679,0
B2,11,9,-0.008311,0.706294,0
B2,11,10,-0.001339,0.542458,0
B2,11,11,0.002366,0.436563,0
C,0,0,-0.000631,0.795205,0
C,0,1,0.000012,0.069930,0
C,0,2,0.001901,0.014985,1
C,0,3,0.000021,0.147852,0
C,0,4,-0.000039,0.610390,0
C,0,5,0.000270,0.028971,0
C,0,6,0.001005,0.025974,0
C,0,7,0.000174,0.134865,0
C,0,8,-0.000697,0.859141,0
C,0,9,-0.000848,0.983017,0
C,0,10,0.000212,0.236763,0
C,0,11,-0.001224,0.928072,0
C,1,0,0.000049,0.451548,0
C,1,1,-0.000307,0.691309,0
C,1,2,-0.000147,0.884116,0
C,1,3,-0.001483,0.971029,0
C,1,4,-0.000298,0.704296,0
C,1,5,0.005880,0.000999,1
C,1,6,-0.000125,0.543457,0
C,1,7,-0.005203,1.000000,0
C,1,8,0.001776,0.046953,0
C,1,9,0.004428,0.000999,1
C,1,10,0.000014,0.335664,0
C,1,11,0.000173,0.277722,0
C,2,0,0.000654,0.370629,0
C,2,1,-0.052435,1.000000,0
C,2,2,0.008801,0.001998,1
C,2,3,-0.000111,0.519481,0
C,2,4,0.003330,0.194805,0
C,2,5,0.005202,0.001998,1
C,2,6,0.004893,0.128871,0
C,2,7,0.003293,0.003996,1
C,2,8,0.002272,0.133866,0
C,2,9,0.000656,0.305694,0
C,2,10,-0.000574,0.957043,0
C,2,11,0.004711,0.000999,1
C,3,0,0.078743,0.000999,1
C,3,1,0.001515,0.351648,0
C,3,2,0.014727,0.000999,1
C,3,3,0.025343,0.001998,1
