bedingung,schicht,kopf,delta,p,signifikant_bh
C,5,0,0.026597,0.000200,1
C,5,1,-0.002994,0.977804,0
C,5,2,0.011068,0.001000,1
C,5,3,-0.001609,0.697860,0
C,5,4,-0.018557,1.000000,0
C,5,5,0.020216,0.000200,1
C,5,6,-0.026226,1.000000,0
C,5,7,0.024055,0.000200,1
C,5,8,-0.002937,0.930214,0
C,5,9,-0.011983,0.999400,0
C,5,10,0.021479,0.000200,1
C,5,11,0.001321,0.269946,0
C,6,0,-0.008181,1.000000,0
C,6,1,-0.021266,1.000000,0
C,6,2,0.000395,0.455909,0
C,6,3,-0.007358,1.000000,0
C,6,4,-0.010384,1.000000,0
C,6,5,-0.006360,0.997401,0
C,6,6,-0.003279,0.832034,0
C,6,7,0.022346,0.000200,1
C,6,8,-0.001481,0.743051,0
C,6,9,-0.003240,0.745051,0
C,6,10,0.002830,0.210358,0
C,6,11,-0.000859,0.601480,0
C,7,0,-0.030057,1.000000,0
C,7,1,-0.016430,1.000000,0
C,7,2,0.018746,0.000200,1
C,7,3,-0.035536,1.000000,0
C,7,4,-0.018324,1.000000,0
C,7,5,0.053854,0.000200,1
C,7,6,-0.017796,0.999400,0
C,7,7,-0.013179,1.000000,0
C,7,8,-0.012567,1.000000,0
C,7,9,-0.024636,1.000000,0
C,7,10,-0.007740,0.996001,0
C,7,11,0.026741,0.000200,1
C,8,0,0.003761,0.125575,0
C,8,1,-0.003998,0.877425,0
C,8,2,0.038775,0.000200,1
C,8,3,0.003849,0.300340,0
C,8,4,-0.005285,0.999400,0
C,8,5,-0.000383,0.534293,0
C,8,6,-0.029422,1.000000,0
C,8,7,-0.009108,1.000000,0
C,8,8,0.053094,0.000200,1
C,8,9,-0.041746,1.000000,0
C,8,10,0.016863,0.000200,1
C,8,11,0.017100,0.000200,1
C,9,0,-0.021200,0.999800,0
C,9,1,0.003076,0.275545,0
C,9,2,0.001869,0.380524,0
C,9,3,-0.006761,1.000000,0
C,9,4,0.000133,0.486303,0
C,9,5,0.031986,0.000200,1
C,9,6,0.017036,0.002200,1
C,9,7,0.007807,0.068386,0
C,9,8,-0.007599,0.945011,0
C,9,9,0.054131,0.000200,1
C,9,10,0.011645,0.027395,0
C,9,11,-0.016740,0.997001,0
C,10,0,0.040758,0.000200,1
C,10,1,-0.003599,0.851830,0
C,10,2,0.129822,0.000200,1
C,10,3,0.044448,0.000200,1
C,10,4,-0.016020,0.953209,0
C,10,5,0.000012,0.296141,0
C,10,6,0.116342,0.000200,1
C,10,7,0.010499,0.062388,0
C,10,8,0.028454,0.000800,1
C,10,9,-0.014663,1.000000,0
C,10,10,0.076264,0.000200,1
C,10,11,0.025959,0.000800,1
C,11,0,-0.008619,0.997001,0
C,11,1,0.006268,0.110578,0
C,11,2,-0.015552,1.000000,0
C,11,3,-0.021436,1.000000,0
C,11,4,-0.011672,0.987802,0
C,11,5,-0.016139,1.000000,0
C,11,6,-0.005902,1.000000,0
C,11,7,-0.017184,1.000000,0
C,11,8,-0.019826,1.000000,0
C,11,9,-0.007774,1.000000,0
C,11,10,-0.011978,0.999600,0
C,11,11,-0.006256,1.000000,0
D,0,0,0.001025,0.001800,1
D,0,1,0.002435,0.000200,1
D,0,2,0.000063,0.177365,0
D,0,3,0.000099,0.226355,0
D,0,4,0.000093,0.004799,1
D,0,5,-0.000340,0.613277,0
D,0,6,-0.001631,0.999200,0
D,0,7,0.001078,0.034193,0
D,0,8,0.000193,0.006199,1
D,0,9,0.001271,0.000200,1
D,0,10,0.000286,0.264347,0
D,0,11,0.006563,0.000200,1
D,1,0,0.002215,0.000200,1
D,1,1,0.036564,0.000200,1
D,1,2,0.000062,0.000200,1
D,1,3,0.001663,0.000200,1
D,1,4,-0.010053,0.999800,0
D,1,5,0.001065,0.001800,1
D,1,6,-0.001785,0.995801,0
D,1,7,-0.000089,0.916817,0
D,1,8,0.009831,0.000200,1
D,1,9,0.007635,0.000200,1
D,1,10,0.045160,0.000200,1
D,1,11,-0.000186,0.913817,0
D,2,0,0.047782,0.000200,1
D,2,1,0.062662,0.000200,1
D,2,2,0.043675,0.000200,1
D,2,3,0.031486,0.000200,1
D,2,4,0.029888,0.000200,1
D,2,5,0.017645,0.000200,1
D,2,6,0.023570,0.000200,1
D,2,7,-0.002522,0.997401,0
D,2,8,-0.000329,1.000000,0
D,2,9,0.055164,0.000200,1
D,2,10,0.029833,0.000200,1
D,2,11,0.026150,0.000200,1
D,3,0,-0.003747,1.000000,0
D,3,1,-0.007295,1.000000,0
D,3,2,-0.000134,1.000000,0
D,3,3,0.002365,0.000200,1
D,3,4,-0.000084,0.879624,0
D,3,5,-0.024646,1.000000,0
D,3,6,0.009259,0.000200,1
D,3,7,0.042995,0.000200,1
D,3,8,0.003333,0.000200,1
D,3,9,-0.003037,0.966807,0
D,3,10,0.008377,0.000200,1
D,3,11,-0.016217,1.000000,0
D,4,0,0.019396,0.000200,1
D,4,1,-0.004245,0.956009,0
D,4,2,-0.023351,1.000000,0
D,4,3,-0.001467,0.996001,0
D,4,4,-0.015825,1.000000,0
D,4,5,0.007928,0.000200,1
D,4,6,0.036266,0.000200,1
D,4,7,-0.028982,1.000000,0
D,4,8,-0.040278,1.000000,0
D,4,9,-0.054492,1.000000,0
D,4,10,-0.032279,1.000000,0
D,4,11,0.016852,0.000200,1
D,5,0,-0.070763,1.000000,0
D,5,1,-0.013808,1.000000,0
D,5,2,-0.274389,1.000000,0
D,5,3,-0.025911,1.000000,0
D,5,4,-0.129760,1.000000,0
D,5,5,0.040866,0.000200,1
D,5,6,-0.013557,0.985203,0
D,5,7,-0.131338,1.000000,0
D,5,8,0.023077,0.000200,1
D,5,9,-0.014474,0.999000,0
D,5,10,-0.091445,1.000000,0
D,5,11,-0.013821,1.000000,0
D,6,0,0.015581,0.000200,1
D,6,1,-0.103172,1.000000,0
D,6,2,0.053132,0.000200,1
D,6,3,-0.064719,1.000000,0
D,6,4,-0.011529,0.999800,0
D,6,5,0.005782,0.020996,0
D,6,6,-0.206397,1.000000,0
D,6,7,-0.079655,1.000000,0
D,6,8,0.001424,0.295141,0
D,6,9,-0.087065,1.000000,0
D,6,10,-0.195405,1.000000,0
D,6,11,-0.246409,1.000000,0
D,7,0,0.038615,0.000200,1
D,7,1,0.083831,0.000200,1
D,7,2,0.148552,0.000200,1
D,7,3,-0.305060,1.000000,0
D,7,4,-0.054572,1.000000,0
D,7,5,-0.073441,1.000000,0
D,7,6,-0.016213,0.990802,0
D,7,7,-0.069324,1.000000,0
D,7,8,-0.061425,1.000000,0
D,7,9,-0.092921,1.000000,0
D,7,10,0.188007,0.000200,1
D,7,11,-0.113178,1.000000,0
D,8,0,-0.007595,0.958808,0
D,8,1,-0.017680,1.000000,0
D,8,2,-0.014769,0.997600,0
D,8,3,-0.368642,1.000000,0
D,8,4,0.013977,0.000200,1
D,8,5,-0.109382,1.000000,0
D,8,6,-0.059238,1.000000,0
D,8,7,-0.023659,1.000000,0
D,8,8,-0.088486,1.000000,0
D,8,9,-0.045956,1.000000,0
D,8,10,-0.045776,1.000000,0
D,8,11,-0.161646,1.000000,0
D,9,0,-0.053004,1.000000,0
D,9,1,-0.145846,1.000000,0
D,9,2,0.050047,0.000200,1
D,9,3,-0.003256,0.998600,0
D,9,4,0.173928,0.000200,1
D,9,5,-0.078275,1.000000,0
D,9,6,0.216944,0.000200,1
D,9,7,0.112076,0.000200,1
D,9,8,-0.078654,1.000000,0
D,9,9,-0.143508,1.000000,0
D,9,10,0.154632,0.000200,1
D,9,11,0.010419,0.068186,0
D,10,0,0.125807,0.000200,1
D,10,1,0.208229,0.000200,1
D,10,2,0.292486,0.000200,1
D,10,3,-0.107498,1.000000,0
D,10,4,-0.146192,1.000000,0
D,10,5,-0.000084,1.000000,0
D,10,6,0.144384,0.000200,1
D,10,7,0.251446,0.000200,1
D,10,8,0.185391,0.000200,1
D,10,9,-0.102382,1.000000,0
D,10,10,0.293306,0.000200,1
D,10,11,0.258830,0.000200,1
D,11,0,0.037098,0.000200,1
D,11,1,-0.025941,1.000000,0
D,11,2,-0.010564,0.984003,0
D,11,3,-0.012108,0.950610,0
D,11,4,-0.091963,1.000000,0
D,11,5,-0.041071,1.000000,0
D,11,6,-0.012754,1.000000,0
D,11,7,0.006723,0.159768,0
D,11,8,0.391942,0.000200,1
D,11,9,0.126469,0.000200,1
D,11,10,0.620707,0.000200,1
D,11,11,-0.020493,1.000000,0
