bedingung,schicht,kopf,delta,p,signifikant_bh
C,3,9,-0.013500,1.000000,0
C,3,10,-0.012150,1.000000,0
C,3,11,0.006996,0.000200,1
C,4,0,-0.019354,1.000000,0
C,4,1,0.012598,0.000200,1
C,4,2,0.005995,0.002400,1
C,4,3,0.002679,0.000200,1
C,4,4,-0.016960,1.000000,0
C,4,5,-0.002706,0.936413,0
C,4,6,0.113793,0.000200,1
C,4,7,-0.001692,0.903619,0
C,4,8,0.018736,0.000200,1
C,4,9,-0.021627,1.000000,0
C,4,10,-0.017269,0.999800,0
C,4,11,0.041479,0.000200,1
C,5,0,0.030053,0.000200,1
C,5,1,-0.001299,0.844031,0
C,5,2,-0.004725,0.973805,0
C,5,3,-0.006334,0.981804,0
C,5,4,-0.023441,1.000000,0
C,5,5,0.010824,0.000200,1
C,5,6,-0.018251,1.000000,0
C,5,7,0.019489,0.000200,1
C,5,8,-0.002070,0.840632,0
C,5,9,-0.010488,0.998800,0
C,5,10,0.014182,0.000200,1
C,5,11,0.000141,0.481304,0
C,6,0,-0.020526,1.000000,0
C,6,1,-0.020860,1.000000,0
C,6,2,-0.011511,0.999000,0
C,6,3,-0.019694,1.000000,0
C,6,4,-0.027561,1.000000,0
C,6,5,-0.014503,1.000000,0
C,6,6,-0.013630,1.000000,0
C,6,7,0.014870,0.000200,1
C,6,8,-0.004843,0.981604,0
C,6,9,0.013695,0.000800,1
C,6,10,-0.005727,0.974205,0
C,6,11,-0.027375,1.000000,0
C,7,0,-0.041862,1.000000,0
C,7,1,-0.025962,1.000000,0
C,7,2,0.020773,0.000200,1
C,7,3,-0.025157,1.000000,0
C,7,4,-0.023797,1.000000,0
C,7,5,0.042461,0.000200,1
C,7,6,0.006813,0.061588,0
C,7,7,-0.014040,1.000000,0
C,7,8,-0.023543,1.000000,0
C,7,9,-0.040842,1.000000,0
C,7,10,-0.001849,0.735253,0
C,7,11,-0.001286,0.656669,0
C,8,0,0.001968,0.244751,0
C,8,1,0.000837,0.371326,0
C,8,2,0.054869,0.000200,1
C,8,3,0.015330,0.009198,1
C,8,4,-0.016829,1.000000,0
C,8,5,-0.001164,0.611678,0
C,8,6,-0.010862,0.987203,0
C,8,7,-0.007217,0.997401,0
C,8,8,0.077126,0.000200,1
C,8,9,-0.027127,1.000000,0
C,8,10,0.030667,0.000200,1
C,8,11,0.018744,0.000200,1
C,9,0,-0.006122,0.937812,0
C,9,1,0.029997,0.000200,1
C,9,2,-0.015211,0.992801,0
C,9,3,-0.017244,1.000000,0
C,9,4,0.011546,0.014997,1
C,9,5,0.061830,0.000200,1
C,9,6,0.003021,0.291342,0
C,9,7,-0.005183,0.818236,0
C,9,8,0.000280,0.474305,0
C,9,9,0.015015,0.005799,1
C,9,10,0.013227,0.005799,1
C,9,11,0.010271,0.013997,1
C,10,0,0.076095,0.000200,1
C,10,1,0.001800,0.307139,0
C,10,2,0.156951,0.000200,1
C,10,3,0.017520,0.003799,1
C,10,4,-0.059279,1.000000,0
C,10,5,0.000045,0.003799,1
C,10,6,0.075653,0.000200,1
C,10,7,0.019743,0.001400,1
C,10,8,0.043374,0.000200,1
C,10,9,-0.033047,1.000000,0
C,10,10,0.066947,0.000200,1
C,10,11,0.053982,0.000200,1
C,11,0,-0.004741,0.928414,0
C,11,1,0.023674,0.000200,1
