bedingung,schicht,kopf,delta,p,signifikant_bh
B2,9,3,-0.004649,0.965807,0
B2,9,4,-0.003099,0.811038,0
B2,9,5,0.000075,0.482304,0
B2,9,6,0.002277,0.307938,0
B2,9,7,0.005534,0.075185,0
B2,9,8,-0.000099,0.507898,0
B2,9,9,0.002369,0.338532,0
B2,9,10,-0.000724,0.615277,0
B2,9,11,-0.001366,0.627275,0
B2,10,0,0.007412,0.072985,0
B2,10,1,-0.000556,0.532693,0
B2,10,2,0.005202,0.180764,0
B2,10,3,-0.002395,0.671666,0
B2,10,4,0.008492,0.042791,0
B2,10,5,-0.002281,0.863827,0
B2,10,6,0.000886,0.442511,0
B2,10,7,0.007143,0.069786,0
B2,10,8,-0.002364,0.705859,0
B2,10,9,0.002129,0.222356,0
B2,10,10,0.007330,0.051990,0
B2,10,11,-0.010411,0.972006,0
B2,11,0,0.001778,0.230354,0
B2,11,1,0.000628,0.453909,0
B2,11,2,0.008333,0.050390,0
B2,11,3,-0.002945,0.687662,0
B2,11,4,-0.003740,0.837033,0
B2,11,5,-0.001555,0.625075,0
B2,11,6,0.002787,0.288142,0
B2,11,7,0.004560,0.191962,0
B2,11,8,0.000002,0.391722,0
B2,11,9,-0.005234,0.835233,0
B2,11,10,0.001297,0.400120,0
B2,11,11,0.002947,0.300740,0
C,0,0,0.000168,0.279944,0
C,0,1,0.000016,0.000200,1
C,0,2,0.000497,0.052789,0
C,0,3,0.000024,0.000200,1
C,0,4,-0.000033,0.765247,0
C,0,5,0.000386,0.000200,1
C,0,6,0.000157,0.203359,0
C,0,7,-0.000255,1.000000,0
C,0,8,-0.001675,1.000000,0
C,0,9,-0.001739,1.000000,0
C,0,10,-0.000591,1.000000,0
C,0,11,-0.000960,1.000000,0
C,1,0,-0.000467,0.996401,0
C,1,1,-0.000761,0.999800,0
C,1,2,-0.000288,1.000000,0
C,1,3,-0.001866,1.000000,0
C,1,4,-0.001190,1.000000,0
C,1,5,0.005697,0.000200,1
C,1,6,-0.001213,0.971806,0
C,1,7,-0.006533,1.000000,0
C,1,8,0.000045,0.450510,0
C,1,9,0.003872,0.000200,1
C,1,10,-0.000029,0.995601,0
C,1,11,0.000624,0.000200,1
C,2,0,-0.003656,1.000000,0
C,2,1,-0.058057,1.000000,0
C,2,2,0.010399,0.000200,1
C,2,3,0.000644,0.105579,0
C,2,4,-0.000751,0.704259,0
C,2,5,0.003436,0.000200,1
C,2,6,0.002560,0.026395,0
C,2,7,0.002668,0.000200,1
C,2,8,0.000743,0.120576,0
C,2,9,-0.000670,0.900420,0
C,2,10,-0.000864,1.000000,0
C,2,11,0.004484,0.000200,1
C,3,0,0.082804,0.000200,1
C,3,1,0.004748,0.000400,1
C,3,2,0.018231,0.000200,1
C,3,3,0.029514,0.000200,1
C,3,4,0.045809,0.000200,1
C,3,5,-0.018732,1.000000,0
C,3,6,0.007767,0.000200,1
C,3,7,0.015345,0.000200,1
C,3,8,0.016101,0.000200,1
C,3,9,0.003728,0.023795,0
C,3,10,0.013676,0.000200,1
C,3,11,-0.003527,0.998600,0
C,4,0,0.019904,0.000200,1
C,4,1,0.013274,0.000200,1
C,4,2,-0.010338,0.999800,0
C,4,3,0.014776,0.000200,1
C,4,4,0.056978,0.000200,1
C,4,5,-0.005771,0.989002,0
C,4,6,0.018507,0.000200,1
C,4,7,-0.004359,1.000000,0
C,4,8,-0.017299,1.000000,0
C,4,9,0.012356,0.000200,1
C,4,10,0.014819,0.000200,1
C,4,11,-0.000000,0.495501,0
C,5,0,0.030014,0.000200,1
C,5,1,0.071250,0.000200,1
C,5,2,-0.005168,0.977205,0
C,5,3,-0.014776,1.000000,0
C,5,4,-0.020616,1.000000,0
C,5,5,0.099408,0.000200,1
C,5,6,0.002622,0.131774,0
C,5,7,-0.000784,0.614677,0
C,5,8,0.006901,0.000600,1
C,5,9,0.034271,0.000200,1
C,5,10,0.009867,0.000800,1
C,5,11,0.046209,0.000200,1
C,6,0,0.000475,0.423515,0
C,6,1,0.005113,0.065787,0
C,6,2,0.023173,0.000200,1
C,6,3,0.008445,0.000800,1
C,6,4,-0.077369,1.000000,0
C,6,5,-0.006381,1.000000,0
C,6,6,0.082475,0.000200,1
C,6,7,0.001970,0.217956,0
C,6,8,0.005042,0.049590,0
C,6,9,0.088433,0.000200,1
C,6,10,-0.026334,1.000000,0
C,6,11,0.009932,0.001600,1
C,7,0,-0.021063,1.000000,0
C,7,1,0.048111,0.000200,1
C,7,2,0.042707,0.000200,1
C,7,3,-0.007850,0.997401,0
C,7,4,-0.006500,1.000000,0
C,7,5,-0.021903,1.000000,0
C,7,6,-0.003780,0.916617,0
C,7,7,-0.012980,0.998200,0
C,7,8,0.008633,0.003399,1
C,7,9,-0.003814,0.855029,0
C,7,10,0.096241,0.000200,1
C,7,11,-0.011155,0.999800,0
C,8,0,-0.002290,0.874025,0
C,8,1,0.030080,0.000200,1
C,8,2,-0.016463,0.999800,0
C,8,3,0.003899,0.214557,0
C,8,4,-0.019635,1.000000,0
C,8,5,0.000672,0.397720,0
C,8,6,-0.004976,0.887822,0
C,8,7,0.010110,0.000200,1
C,8,8,-0.039172,1.000000,0
C,8,9,-0.037049,1.000000,0
C,8,10,0.035442,0.000200,1
C,8,11,-0.004846,0.937213,0
C,9,0,-0.013952,0.995801,0
C,9,1,-0.004912,0.921816,0
C,9,2,-0.045661,1.000000,0
C,9,3,-0.024935,1.000000,0
C,9,4,0.016521,0.000200,1
C,9,5,0.014451,0.000200,1
C,9,6,0.033060,0.000200,1
C,9,7,0.012451,0.000200,1
C,9,8,-0.066255,1.000000,0
C,9,9,0.070030,0.000200,1
C,9,10,-0.009880,1.000000,0
C,9,11,-0.015761,1.000000,0
C,10,0,0.011079,0.004599,1
C,10,1,0.056019,0.000200,1
C,10,2,0.012630,0.004399,1
C,10,3,-0.019760,1.000000,0
C,10,4,0.005885,0.080984,0
C,10,5,-0.013612,1.000000,0
C,10,6,0.005601,0.145171,0
C,10,7,0.089630,0.000200,1
C,10,8,0.032293,0.000200,1
C,10,9,-0.014329,1.000000,0
C,10,10,0.043868,0.000200,1
C,10,11,0.000160,0.487902,0
C,11,0,0.003837,0.027395,0
C,11,1,0.015287,0.000600,1
C,11,2,-0.013092,0.998200,0
C,11,3,-0.111275,1.000000,0
C,11,4,-0.006009,0.965407,0
C,11,5,0.038069,0.000200,1
C,11,6,0.018762,0.000200,1
C,11,7,0.029918,0.000200,1
C,11,8,0.000002,0.326135,0
C,11,9,0.028760,0.000200,1
C,11,10,0.027527,0.000200,1
C,11,11,0.000156,0.493901,0
D,0,0,0.001397,0.000200,1
D,0,1,0.000018,0.000200,1
D,0,2,0.001995,0.000200,1
D,0,3,0.000036,0.000200,1
D,0,4,0.000215,0.000200,1
D,0,5,0.000507,0.000200,1
D,0,6,0.001280,0.000200,1
D,0,7,0.000623,0.000200,1
D,0,8,-0.001666,1.000000,0
D,0,9,-0.002175,1.000000,0
D,0,10,-0.000151,0.873025,0
D,0,11,-0.000611,0.996001,0
D,1,0,0.000126,0.223955,0
D,1,1,-0.002587,1.000000,0
D,1,2,-0.000510,1.000000,0
D,1,3,-0.001772,1.000000,0
D,1,4,-0.001998,1.000000,0
D,1,5,0.009160,0.000200,1
D,1,6,0.003305,0.000200,1
D,1,7,-0.011117,1.000000,0
D,1,8,0.001084,0.001000,1
D,1,9,0.009018,0.000200,1
D,1,10,0.000064,0.000200,1
D,1,11,0.000482,0.000200,1
D,2,0,-0.002977,1.000000,0
D,2,1,-0.103024,1.000000,0
D,2,2,0.021035,0.000200,1
D,2,3,-0.012279,1.000000,0
D,2,4,0.041156,0.000200,1
D,2,5,-0.005206,1.000000,0
D,2,6,0.019416,0.000200,1
D,2,7,0.009589,0.000200,1
D,2,8,-0.001997,0.998600,0
D,2,9,-0.012106,1.000000,0
D,2,10,-0.000748,1.000000,0
D,2,11,0.017207,0.000200,1
D,3,0,0.052666,0.000200,1
D,3,1,-0.029011,1.000000,0
D,3,2,-0.038615,1.000000,0
D,3,3,0.012044,0.000200,1
D,3,4,0.024276,0.000200,1
D,3,5,-0.032989,1.000000,0
D,3,6,-0.032358,1.000000,0
D,3,7,-0.080122,1.000000,0
D,3,8,-0.029592,1.000000,0
D,3,9,0.051090,0.000200,1
D,3,10,0.006507,0.000200,1
D,3,11,0.005000,0.000200,1
D,4,0,0.055791,0.000200,1
D,4,1,0.004893,0.016197,1
D,4,2,-0.078255,1.000000,0
D,4,3,-0.025731,1.000000,0
D,4,4,0.108025,0.000200,1
D,4,5,-0.037514,1.000000,0
D,4,6,-0.033304,1.000000,0
D,4,7,-0.056893,1.000000,0
D,4,8,-0.161383,1.000000,0
D,4,9,0.090471,0.000200,1
D,4,10,0.011637,0.000200,1
D,4,11,0.000000,0.329334,0
D,5,0,-0.346138,1.000000,0
D,5,1,0.034125,0.000200,1
D,5,2,-0.074506,1.000000,0
D,5,3,-0.093287,1.000000,0
D,5,4,-0.145582,1.000000,0
D,5,5,-0.067990,1.000000,0
D,5,6,-0.230479,1.000000,0
D,5,7,0.102120,0.000200,1
D,5,8,-0.065172,1.000000,0
D,5,9,-0.098650,1.000000,0
D,5,10,-0.003384,0.883623,0
D,5,11,0.130718,0.000200,1
D,6,0,-0.003986,0.961208,0
D,6,1,-0.010768,1.000000,0
D,6,2,-0.000341,0.585283,0
D,6,3,-0.071407,1.000000,0
D,6,4,-0.162105,1.000000,0
D,6,5,-0.142501,1.000000,0
D,6,6,-0.040966,1.000000,0
D,6,7,-0.046990,1.000000,0
D,6,8,-0.090850,1.000000,0
D,6,9,-0.139282,1.000000,0
D,6,10,-0.446783,1.000000,0
D,6,11,-0.017500,1.000000,0
D,7,0,-0.088168,1.000000,0
D,7,1,-0.281087,1.000000,0
D,7,2,-0.291767,1.000000,0
D,7,3,0.027810,0.000200,1
D,7,4,0.105480,0.000200,1
D,7,5,0.124529,0.000200,1
D,7,6,-0.245021,1.000000,0
D,7,7,-0.555511,1.000000,0
D,7,8,0.123764,0.000200,1
D,7,9,0.123812,0.000200,1
D,7,10,-0.260318,1.000000,0
D,7,11,-0.547814,1.000000,0
D,8,0,-0.201840,1.000000,0
D,8,1,-0.581873,1.000000,0
D,8,2,-0.172522,1.000000,0
D,8,3,0.024083,0.000200,1
D,8,4,0.082769,0.000200,1
D,8,5,0.117542,0.000200,1
D,8,6,-0.524808,1.000000,0
D,8,7,0.040076,0.000200,1
D,8,8,-0.014100,0.997401,0
D,8,9,-0.038220,1.000000,0
D,8,10,0.076696,0.000200,1
D,8,11,-0.076803,1.000000,0
D,9,0,-0.012865,0.994201,0
D,9,1,-0.433499,1.000000,0
D,9,2,-0.103525,1.000000,0
D,9,3,0.076641,0.000200,1
D,9,4,-0.243758,1.000000,0
D,9,5,0.086544,0.000200,1
D,9,6,-0.231389,1.000000,0
D,9,7,0.075721,0.000200,1
D,9,8,-0.060604,1.000000,0
D,9,9,-0.236108,1.000000,0
D,9,10,0.101977,0.000200,1
D,9,11,-0.612461,1.000000,0
D,10,0,-0.079636,1.000000,0
D,10,1,-0.323724,1.000000,0
D,10,2,-0.424269,1.000000,0
D,10,3,-0.272582,1.000000,0
D,10,4,-0.276706,1.000000,0
D,10,5,-0.016855,1.000000,0
D,10,6,-0.248439,1.000000,0
D,10,7,-0.032912,1.000000,0
D,10,8,-0.547611,1.000000,0
D,10,9,0.006428,0.007399,1
D,10,10,-0.204819,1.000000,0
D,10,11,-0.399106,1.000000,0
D,11,0,-0.088587,1.000000,0
D,11,1,-0.292147,1.000000,0
D,11,2,-0.243031,1.000000,0
D,11,3,-0.308388,1.000000,0
D,11,4,-0.194915,1.000000,0
D,11,5,-0.395496,1.000000,0
D,11,6,-0.282400,1.000000,0
D,11,7,-0.338847,1.000000,0
D,11,8,-0.000132,1.000000,0
D,11,9,-0.360633,1.000000,0
D,11,10,-0.054594,1.000000,0
D,11,11,-0.107814,1.000000,0
