bedingung,schicht,kopf,delta,p,signifikant_bh
C,4,6,0.013788,0.000200,1
C,4,7,-0.001126,0.898420,0
C,4,8,-0.009677,0.996401,0
C,4,9,-0.008959,0.999000,0
C,4,10,0.005145,0.006399,1
C,4,11,0.000001,0.197161,0
C,5,0,0.042568,0.000200,1
C,5,1,0.054523,0.000200,1
C,5,2,-0.002093,0.805839,0
C,5,3,-0.008569,1.000000,0
C,5,4,-0.012025,1.000000,0
C,5,5,0.096229,0.000200,1
C,5,6,0.002346,0.125775,0
C,5,7,-0.015888,1.000000,0
C,5,8,0.002930,0.039592,0
C,5,9,0.036863,0.000200,1
C,5,10,0.008802,0.000200,1
C,5,11,0.035619,0.000200,1
C,6,0,0.006502,0.003199,1
C,6,1,0.000673,0.410718,0
C,6,2,0.014204,0.000200,1
C,6,3,0.011076,0.000200,1
C,6,4,-0.052315,1.000000,0
C,6,5,0.000916,0.302340,0
C,6,6,0.072072,0.000200,1
C,6,7,-0.007654,0.999800,0
C,6,8,0.013500,0.000200,1
C,6,9,0.088416,0.000200,1
C,6,10,-0.011220,0.993801,0
C,6,11,0.010474,0.000800,1
C,7,0,-0.008774,0.993801,0
C,7,1,0.059149,0.000200,1
C,7,2,0.036656,0.000200,1
C,7,3,-0.012600,1.000000,0
C,7,4,-0.007421,1.000000,0
C,7,5,-0.034221,1.000000,0
C,7,6,-0.000281,0.543491,0
C,7,7,0.007244,0.048390,0
C,7,8,-0.004848,0.949210,0
C,7,9,-0.000151,0.516697,0
C,7,10,0.091467,0.000200,1
C,7,11,0.004243,0.150370,0
C,8,0,0.000096,0.493701,0
C,8,1,0.047088,0.000200,1
C,8,2,-0.023310,1.000000,0
C,8,3,0.012997,0.002599,1
C,8,4,-0.011762,0.999800,0
C,8,5,-0.006853,0.994601,0
C,8,6,0.013851,0.001400,1
C,8,7,0.003401,0.125175,0
C,8,8,-0.048225,1.000000,0
C,8,9,-0.025847,1.000000,0
C,8,10,0.035559,0.000200,1
C,8,11,-0.009272,0.999200,0
C,9,0,-0.029291,1.000000,0
C,9,1,0.029368,0.000200,1
C,9,2,-0.044021,1.000000,0
C,9,3,-0.030995,1.000000,0
C,9,4,0.022011,0.000200,1
C,9,5,0.020805,0.000200,1
C,9,6,0.035811,0.000200,1
C,9,7,0.007620,0.012597,1
C,9,8,-0.045654,1.000000,0
C,9,9,0.072885,0.000200,1
C,9,10,-0.008396,1.000000,0
C,9,11,0.007240,0.133373,0
C,10,0,-0.011003,0.986403,0
C,10,1,0.055390,0.000200,1
C,10,2,0.014407,0.010398,1
C,10,3,-0.000370,0.530294,0
C,10,4,0.001249,0.374725,0
C,10,5,-0.009730,1.000000,0
C,10,6,-0.003296,0.703059,0
C,10,7,0.070984,0.000200,1
C,10,8,0.036156,0.000200,1
C,10,9,-0.020225,1.000000,0
C,10,10,0.017365,0.000200,1
C,10,11,0.003696,0.220756,0
C,11,0,0.001967,0.140972,0
C,11,1,0.026575,0.000200,1
C,11,2,-0.015582,0.998600,0
C,11,3,-0.108620,1.000000,0
C,11,4,-0.007322,0.995601,0
C,11,5,0.040850,0.000200,1
C,11,6,0.003729,0.232953,0
C,11,7,0.019580,0.000200,1
C,11,8,0.000014,0.006999,1
C,11,9,0.033596,0.000200,1
C,11,10,0.018709,0.000200,1
C,11,11,-0.018310,1.000000,0
D,0,0,0.001713,0.000200,1
D,0,1,0.000013,0.000200,1
D,0,2,0.000803,0.002799,1
D,0,3,0.000028,0.000200,1
D,0,4,0.000332,0.000200,1
D,0,5,0.000499,0.000200,1
D,0,6,0.001515,0.000200,1
D,0,7,0.000574,0.000200,1
D,0,8,-0.000443,0.960608,0
D,0,9,-0.001065,1.000000,0
